% variance explained,predictors,conditions,patient,chanels,nature
12.57307910248287,envelope,9l,p02,p02_H_14_15,real
-1.5764413792003,envelope,9l,p02,p02_H'_5_6,real
-2.72238399827559,envelope,9l,p02,p02_H'_6_7,real
18.60376815807291,envelope,9l,p02,p02_H'_7_8,real
6.251632240151141,envelope,9l,p02,p02_H'_8_9,real
11.69508381136893,envelope,9l,p02,p02_H'_9_10,real
20.04120951959934,envelope,9l,p02,p02_H'_10_11,real
-1.35080499978911,envelope,9l,p02,p02_H'_11_12,real
3.6451480569514296,envelope,9l,p02,p02_H'_12_13,real
-5.7884225890366094,envelope,9l,p02,p02_Im'_5_6,real
4.1217387300778405,envelope,9l,p02,p02_Im'_6_7,real
-1.28855390189598,envelope,9l,p02,p02_Im'_7_8,real
-5.5911840840207,envelope,9l,p02,p02_Ip_1_2,real
2.91329031344104,envelope,9l,p02,p02_Ip'_7_8,real
-0.92950292912632,envelope,9l,p02,p02_OF_12_13,real
0.34786454185713,envelope,9m,p02,p02_H_5_6,real
14.98629036511413,envelope,9m,p02,p02_H_6_7,real
17.66925240731252,envelope,9m,p02,p02_H_7_8,real
6.53252789300158,envelope,9m,p02,p02_H_8_9,real
6.81771588887487,envelope,9m,p02,p02_H_9_10,real
13.87463255097116,envelope,9m,p02,p02_H_10_11,real
-5.52439519927007,envelope,9m,p02,p02_H_11_12,real
10.92793599311027,envelope,9m,p02,p02_H_12_13,real
3.86826174331076,envelope,9m,p02,p02_H_13_14,real
20.41631561603537,envelope,9m,p02,p02_H_14_15,real
2.01389485877421,envelope,9m,p02,p02_H'_5_6,real
8.90502142051073,envelope,9m,p02,p02_H'_6_7,real
14.41249687064918,envelope,9m,p02,p02_H'_7_8,real
9.22570857202021,envelope,9m,p02,p02_H'_8_9,real
15.661843137955312,envelope,9m,p02,p02_H'_9_10,real
24.817606394425372,envelope,9m,p02,p02_H'_10_11,real
19.76984246249025,envelope,9m,p02,p02_H'_11_12,real
0.08428640325899,envelope,9m,p02,p02_H'_12_13,real
5.810239260309389,envelope,9m,p02,p02_Im'_5_6,real
13.80062549362252,envelope,9m,p02,p02_Im'_6_7,real
-1.24530881987916,envelope,9m,p02,p02_Im'_7_8,real
2.97971955851748,envelope,9m,p02,p02_Ip_1_2,real
-1.6631629533299899,envelope,9m,p02,p02_Ip'_7_8,real
1.06085897689089,envelope,9m,p02,p02_OF_12_13,real
2.35140819243449,envelope,9h,p02,p02_H_5_6,real
12.14934378984444,envelope,9h,p02,p02_H_6_7,real
7.77916292422417,envelope,9h,p02,p02_H_7_8,real
5.26563353530178,envelope,9h,p02,p02_H_8_9,real
5.06559095709069,envelope,9h,p02,p02_H_9_10,real
7.24761269885503,envelope,9h,p02,p02_H_10_11,real
16.56427249361095,envelope,9h,p02,p02_H_11_12,real
19.324769101236132,envelope,9h,p02,p02_H_12_13,real
7.03638866380048,envelope,9h,p02,p02_H_13_14,real
19.24199404426891,envelope,9h,p02,p02_H_14_15,real
16.00856087864219,envelope,9h,p02,p02_H'_5_6,real
